source,target,osmid,lanes,name,highway,oneway,reversed,length,highway,lanes,name,junction,geometry,access,service,landuse,tunnel,width
317367071,6646826309,9965723,2,Phố Tràng Tiền,secondary,False,False,65.398,secondary,2,Phố Tràng Tiền,,,,,,,
317367071,8184606179,9965723,2,Phố Tràng Tiền,secondary,False,True,9.739,secondary,2,Phố Tràng Tiền,,,,,,,
317367071,10142026275,28869504,,Phố Nguyễn Xí,residential,False,True,9.248,residential,,Phố Nguyễn Xí,,,,,,,
317968648,993037677,28924658,,Phố Tông Đản,residential,False,True,4.34,residential,,Phố Tông Đản,,,,,,,
317968648,6647111311,711128281,1,Phố Tràng Tiền,secondary,False,False,8.962,secondary,1,Phố Tràng Tiền,,,,,,,
317968648,10142649478,711128281,1,Phố Tràng Tiền,secondary,False,True,67.441,secondary,1,Phố Tràng Tiền,,,,,,,
317968654,6644037905,28924660,,Phố Đặng Thái Thân,residential,False,True,8.187,residential,,Phố Đặng Thái Thân,,,,,,,
317968654,6644037903,599647461,,,service,False,True,7.857,service,,,,,,,,,
317968654,6644037904,684089070,,Phố Phạm Ngũ Lão,residential,False,False,9.484,residential,,Phố Phạm Ngũ Lão,,,,,,,
317968654,8817435380,684089070,,Phố Phạm Ngũ Lão,residential,False,True,48.735,residential,,Phố Phạm Ngũ Lão,,,,,,,
317968666,6676496647,28924665,2,Phố Trần Thánh Tông,tertiary,False,True,22.71,tertiary,2,Phố Trần Thánh Tông,,,,,,,
317968666,2218590775,59150901,4,Phố Trần Thánh Tông,tertiary,False,False,15.177,tertiary,4,Phố Trần Thánh Tông,,,,,,,
317968666,6676496648,1226366005,2,Phố Tăng Bạt Hổ,tertiary,False,False,24.238,tertiary,2,Phố Tăng Bạt Hổ,,,,,,,
317968674,6676496647,28924665,2,Phố Trần Thánh Tông,tertiary,False,False,545.022,tertiary,2,Phố Trần Thánh Tông,,"LINESTRING (105.8599559 21.0135821, 105.859933 21.0137192, 105.8597135 21.014743, 105.8596865 21.014865, 105.8596724 21.0149235, 105.859653 21.0150046, 105.8594626 21.015895, 105.859193 21.0171201, 105.8591278 21.0174117, 105.8588915 21.0183814)",,,,,
319490478,10586767714,11550267,,Phố Lý Đạo Thành,residential,False,True,8.644,residential,,Phố Lý Đạo Thành,,,,,,,
319490478,4902374741,498896871,3,Phố Lý Thái Tổ,tertiary,False,True,53.318,tertiary,3,Phố Lý Thái Tổ,,,,,,,
319490478,1813639973,498896871,3,Phố Lý Thái Tổ,tertiary,False,False,216.244,tertiary,3,Phố Lý Thái Tổ,,"LINESTRING (105.8566833 21.0251228, 105.8564679 21.0257595, 105.8564302 21.0258794, 105.8563875 21.0260288, 105.8561311 21.0267904, 105.8561175 21.026868, 105.8561178 21.0269885)",,,,,
319490480,6644037905,28924660,,Phố Đặng Thái Thân,residential,False,False,24.684,residential,,Phố Đặng Thái Thân,,,,,,,
319490480,4022981145,28924660,,Phố Đặng Thái Thân,residential,False,True,80.187,residential,,Phố Đặng Thái Thân,,,,,,,
319490480,10142034368,707054937,,Ngõ 1A Phố Đặng Thái Thân,service,False,False,4.446,service,,Ngõ 1A Phố Đặng Thái Thân,,,,alley,,,
319490483,2218590791,1226366005,2,Phố Tăng Bạt Hổ,tertiary,False,True,128.058,tertiary,2,Phố Tăng Bạt Hổ,,"LINESTRING (105.8583461 21.0169388, 105.8582459 21.017258, 105.8582487 21.0173258, 105.8582629 21.0174014, 105.8583344 21.0175624, 105.8584719 21.0179013, 105.8585242 21.0180301)",,,,,
320410353,438042805,772375883,2,Đường Trần Quang Khải,primary,False,True,606.3850000000001,primary,2,Đường Trần Quang Khải,,"LINESTRING (105.8578159 21.0292059, 105.8583896 21.0280166, 105.8586238 21.0275874, 105.8588651 21.0272021, 105.8593168 21.0265043, 105.8602657 21.0250939, 105.8603313 21.0249801, 105.8603853 21.0248773, 105.860437 21.0247828, 105.8604899 21.0246651, 105.8605779 21.0244154)",,,,,
320410406,309653586,702910581,,Đường Hồng Hà,residential,False,False,104.203,residential,,Đường Hồng Hà,,,,,,,
320410406,5704400887,599647456,,,service,False,False,19.891,service,,,,"LINESTRING (105.8603997 21.0251159, 105.8604571 21.0251432, 105.8604035 21.0252509)",,,,,
320410406,5704400890,702910581,,Đường Hồng Hà,residential,False,True,70.474,residential,,Đường Hồng Hà,,"LINESTRING (105.8603997 21.0251159, 105.8601114 21.025551, 105.8600425 21.0256549)",,,,,
320410409,10142638719,29124255,,Vạn Kiếp,residential,False,True,10.288,residential,,Vạn Kiếp,,,,,,,
320410409,5707599746,600157694,,Đường Hồng Hà,residential,False,True,105.857,residential,,Đường Hồng Hà,,,,,,,
320410409,5707599742,"[408489723, 29124255]",2,"['Đường Bạch Đằng', 'Vạn Kiếp']","['residential', 'tertiary']",False,"[False, True]",295.904,"['residential', 'tertiary']",2,"['Đường Bạch Đằng', 'Vạn Kiếp']",,"LINESTRING (105.8622191 21.0185804, 105.8625822 21.0186632, 105.8628813 21.0187315, 105.8631134 21.0187844, 105.8631189 21.0187857, 105.8639306 21.0189715, 105.8636298 21.0193692, 105.8635864 21.0194384, 105.8634456 21.0196879, 105.8633673 21.0198384)",,,,,
320410409,320410412,772375884,,Đường Nguyễn Khoái,residential,False,False,421.97799999999995,residential,,Đường Nguyễn Khoái,,"LINESTRING (105.8622191 21.0185804, 105.8625692 21.0173052, 105.8625866 21.0172315, 105.8627141 21.0166919, 105.8628986 21.0158447, 105.8630931 21.0148756)",,,,,
320410412,320410409,772375884,,Đường Nguyễn Khoái,residential,False,True,421.97799999999995,residential,,Đường Nguyễn Khoái,,"LINESTRING (105.8630931 21.0148756, 105.8628986 21.0158447, 105.8627141 21.0166919, 105.8625866 21.0172315, 105.8625692 21.0173052, 105.8622191 21.0185804)",,,,,
438042805,84799740,838062935,2,Đường Trần Khánh Dư,primary,False,True,47.981,primary,2,Đường Trần Khánh Dư,,,,,,,
438042805,6600251029,211897427,1,,primary_link,False,False,93.596,primary_link,1,,,"LINESTRING (105.8605779 21.0244154, 105.8605199 21.0245194, 105.8604909 21.024557, 105.8604553 21.0245864, 105.8604157 21.024613, 105.8603921 21.0246416, 105.8602343 21.0249375, 105.8602034 21.0249859, 105.8601871 21.0250085, 105.8601752 21.0250203, 105.8601608 21.0250297, 105.8601434 21.0250375, 105.8600507 21.0250498)",,,,,
438042805,320410353,772375883,2,Đường Trần Quang Khải,primary,False,False,606.385,primary,2,Đường Trần Quang Khải,,"LINESTRING (105.8605779 21.0244154, 105.8604899 21.0246651, 105.860437 21.0247828, 105.8603853 21.0248773, 105.8603313 21.0249801, 105.8602657 21.0250939, 105.8593168 21.0265043, 105.8588651 21.0272021, 105.8586238 21.0275874, 105.8583896 21.0280166, 105.8578159 21.0292059)",,,,,
438042806,10142638778,211897425,1,,primary_link,False,False,20.367,primary_link,1,,,,,,,,
438042806,309653587,954856205,4,Đường Trần Khánh Dư,primary,False,False,101.034,primary,4,Đường Trần Khánh Dư,,,,,,,
438042806,6600251026,954856205,4,Đường Trần Khánh Dư,primary,False,True,47.357,primary,4,Đường Trần Khánh Dư,,"LINESTRING (105.8602148 21.024606, 105.8601914 21.0246784, 105.8601564 21.0247585, 105.8601316 21.0248021, 105.8601003 21.0248558, 105.8600697 21.0248992, 105.8600125 21.0249853)",,,,,
438042808,6600251031,38134264,4,Đường Trần Quang Khải,primary,False,False,23.944,primary,4,Đường Trần Quang Khải,,,,,,,
438042808,10586767712,"[38134264, 37933056]","['1', '4']",Đường Trần Quang Khải,"['primary_link', 'primary']",False,"[False, True]",218.917,"['primary_link', 'primary']","['1', '4']",Đường Trần Quang Khải,,"LINESTRING (105.8597901 21.0252009, 105.8591225 21.0260143, 105.8592091 21.02571, 105.8592422 21.0254648, 105.8592491 21.0253703, 105.859253 21.0252898, 105.8592542 21.025172, 105.8592531 21.025083)",,,,,
442601282,10139319541,711536113,,,service,False,False,16.121,service,,,,,,,,,
442601282,10139319557,813360486,2,Phố Trần Hưng Đạo,secondary,False,False,11.753,secondary,2,Phố Trần Hưng Đạo,,,,,,,
442601282,102987957,813360486,2,Phố Trần Hưng Đạo,secondary,False,True,45.258,secondary,2,Phố Trần Hưng Đạo,,,,,,,
443033372,10988320675,28191490,,Phố Cầu Đất,residential,False,False,204.623,residential,,Phố Cầu Đất,,"LINESTRING (105.8617471 21.025803, 105.8614054 21.025578, 105.8613016 21.0255097, 105.8611076 21.025304, 105.8610017 21.025034, 105.8608918 21.0245924, 105.8608552 21.024446, 105.8607941 21.02429)",,,,,
443033372,5704400886,408489723,2,Đường Bạch Đằng,tertiary,False,False,114.354,tertiary,2,Đường Bạch Đằng,,"LINESTRING (105.8617471 21.025803, 105.8618688 21.0256239, 105.861989 21.0253574, 105.8620927 21.0248392)",,,,,
